t_send,t_recv,rtt_ms,endpoint,http_status,ws_lag_ms,ws_note
1789243411.211474,1789243411.2664328,54.95882034301758,public:getticker,200,65700.28448104858,ok
1789243411.2664566,1789243411.3341002,67.64364242553711,private:getpermissions,200,65700.28448104858,ok
1789243441.2118366,1789243441.2526302,40.793657302856445,public:getticker,200,95668.17498207092,unchanged
1789243441.252647,1789243441.3019953,49.34835433959961,private:getpermissions,200,95668.17498207092,unchanged
1789243471.2121165,1789243471.2435973,31.480789184570312,public:getticker,200,7100.512266159058,ok
1789243471.2436125,1789243471.291242,47.629356384277344,private:getpermissions,200,7100.512266159058,ok
1789243501.2123644,1789243501.2527041,40.33970832824707,public:getticker,200,37104.97426986694,unchanged
1789243501.2527175,1789243501.2957058,42.98830032348633,private:getpermissions,200,37104.97426986694,unchanged
1789243531.2127225,1789243531.2478774,35.15481948852539,public:getticker,200,7145.995140075684,ok
1789243531.247893,1789243531.309841,61.94782257080078,private:getpermissions,200,7145.995140075684,ok
1789243561.2130413,1789243561.2502248,37.183523178100586,public:getticker,200,37125.63443183899,unchanged
1789243561.2502406,1789243561.2894793,39.238691329956055,private:getpermissions,200,37125.63443183899,unchanged
1789243591.213281,1789243591.2493136,36.032676696777344,public:getticker,200,6547.660827636719,ok
1789243591.249328,1789243591.2875931,38.265228271484375,private:getpermissions,200,6547.660827636719,ok
1789243621.2135634,1789243621.2514212,37.857770919799805,public:getticker,200,36623.42953681946,unchanged
1789243621.2514663,1789243621.36336,111.8936538696289,private:getpermissions,200,36623.42953681946,unchanged
1789243651.2138271,1789243651.2281072,14.280080795288086,public:getticker,200,6464.941501617432,ok
1789243651.2281196,1789243651.2706823,42.56272315979004,private:getpermissions,200,6464.941501617432,ok
1789243681.2140627,1789243681.2514563,37.39356994628906,public:getticker,200,36496.445178985596,unchanged
1789243681.251471,1789243681.3021858,50.714731216430664,private:getpermissions,200,36496.445178985596,unchanged
1789243711.2143269,1789243711.2502759,35.948991775512695,public:getticker,200,5283.926248550415,ok
1789243711.2502909,1789243711.3043,54.009199142456055,private:getpermissions,200,5283.926248550415,ok
1789243741.214778,1789243741.2528162,38.03825378417969,public:getticker,200,35275.52533149719,unchanged
1789243741.2528317,1789243741.2958996,43.06793212890625,private:getpermissions,200,35275.52533149719,unchanged
1789243771.2151818,1789243771.2535741,38.39230537414551,public:getticker,200,5107.9535484313965,ok
1789243771.2535894,1789243771.308494,54.90469932556152,private:getpermissions,200,5107.9535484313965,ok
1789243801.2159095,1789243801.249119,33.20956230163574,public:getticker,200,35092.151403427124,unchanged
1789243801.2491353,1789243801.292695,43.55978965759277,private:getpermissions,200,35092.151403427124,unchanged
1789243831.2161689,1789243831.248713,32.54413604736328,public:getticker,200,2940.729856491089,ok
1789243831.2487266,1789243831.2897124,40.985822677612305,private:getpermissions,200,2940.729856491089,ok
1789243861.2171829,1789243861.2528632,35.680294036865234,public:getticker,200,32943.3319568634,unchanged
1789243861.2528787,1789243861.2923133,39.43467140197754,private:getpermissions,200,32943.3319568634,unchanged
1789243891.2183778,1789243891.2646816,46.303749084472656,public:getticker,200,2330.01708984375,ok
1789243891.2646961,1789243891.3030994,38.40327262878418,private:getpermissions,200,2330.01708984375,ok
1789243921.2192795,1789243921.2344565,15.177011489868164,public:getticker,200,32298.98953437805,unchanged
