timestamp,best_bid,best_ask,ltp
1787201902.737,11001155.0,11002559.0,10998710.0
1787201907.925,10998853.0,11001393.0,11000950.0
1787201913.084,10998710.0,11001138.0,10998710.0
1787201918.149,11000540.0,11001154.0,11001133.0
1787201923.197,11000570.0,11002295.0,11000552.0
1787201928.268,11000570.0,11002295.0,11000552.0
1787201933.358,11000660.0,11002916.0,11000552.0
1787201938.478,11001110.0,11002726.0,11001110.0
1787201943.558,11000814.0,11003212.0,11001612.0
1787201948.641,11000726.0,11003245.0,11000814.0
1787201953.731,10999684.0,11002121.0,10999681.0
1787201958.825,10999522.0,11002070.0,10999681.0
1787201963.921,10998722.0,11001609.0,10999681.0
1787201969.016,10998819.0,11001065.0,10998818.0
1787201974.158,10998711.0,11000908.0,11000908.0
1787201979.307,10998710.0,11000354.0,10998710.0
1787201984.446,10998757.0,10999204.0,11002562.0
1787201989.515,10998710.0,11000030.0,10999204.0
1787201994.577,10998710.0,10998912.0,11000000.0
1787201999.659,10998710.0,11000619.0,11000000.0
1787202004.700,11000000.0,11001415.0,11000000.0
1787202009.778,10999500.0,11001354.0,11001380.0
1787202014.852,11000433.0,11002563.0,11001875.0
1787202019.893,11000481.0,11002556.0,11002563.0
1787202025.001,11000772.0,11002556.0,11002555.0
1787202030.064,10999845.0,11002555.0,11002555.0
1787202035.118,10999405.0,11002009.0,11002512.0
1787202040.198,10999477.0,11001543.0,10999404.0
1787202045.269,10998812.0,11001499.0,11001499.0
1787202050.343,10999982.0,11001443.0,11001499.0
1787202055.392,11000173.0,11001443.0,11001499.0
1787202060.483,10999576.0,11001443.0,11001443.0
1787202065.552,11001666.0,11003523.0,11002796.0
1787202070.646,11003589.0,11004903.0,11003527.0
1787202075.740,11001605.0,11004569.0,11002094.0
1787202080.784,11000346.0,11003548.0,11002094.0
1787202085.900,11002059.0,11004035.0,11002094.0
1787202091.003,11000717.0,11004039.0,11002094.0
1787202096.076,11000417.0,11003209.0,11002094.0
1787202101.170,10999890.0,11001975.0,11002014.0
1787202106.236,11000240.0,11001938.0,11001940.0
1787202111.281,10999740.0,11000375.0,11000375.0
1787202116.340,10999747.0,10999996.0,10999996.0
1787202121.397,11000231.0,11002326.0,11002363.0
1787202126.454,11001492.0,11003805.0,11001894.0
1787202131.535,11000266.0,11003786.0,11004479.0
1787202136.582,11000521.0,11001992.0,11004479.0
1787202141.626,11000570.0,11001991.0,11004479.0
1787202146.706,11000577.0,11001991.0,11004479.0
1787202151.755,11001991.0,11003044.0,11001991.0
1787202156.819,11001461.0,11003741.0,11001991.0
1787202161.901,11002029.0,11004250.0,11003741.0
1787202166.980,11001166.0,11003994.0,11000929.0
1787202172.051,11000171.0,11003989.0,11000929.0
1787202177.117,11000407.0,11003626.0,11000929.0
1787202182.225,11000495.0,11003791.0,11000929.0
1787202187.298,11000459.0,11003599.0,11000929.0
1787202192.372,11000459.0,11003220.0,11000929.0
1787202197.419,10999948.0,11001318.0,11000929.0
1787202202.478,10998710.0,11001386.0,10999347.0
1787202207.533,10998710.0,11000157.0,10999347.0
1787202212.574,10998763.0,11000010.0,10999347.0
1787202217.689,10998710.0,10999990.0,10999347.0
1787202222.744,10998710.0,10999921.0,10998710.0
1787202227.790,10998710.0,10999901.0,10998710.0
1787202232.863,10998710.0,10999619.0,10998710.0
1787202238.035,10998710.0,10999599.0,10998710.0
1787202243.139,10998710.0,10999588.0,10998710.0
1787202248.217,11001271.0,11003350.0,11002562.0
1787202253.268,11001274.0,11003317.0,11002562.0
1787202258.360,11000073.0,11002950.0,11002562.0
1787202263.456,11000885.0,11002225.0,11002259.0
1787202268.532,11000966.0,11002224.0,11002224.0
1787202273.664,11001720.0,11002587.0,11002215.0
1787202278.758,11002207.0,11004190.0,11002797.0
1787202283.908,10999489.0,11000080.0,10998710.0
1787202289.033,10998710.0,10999919.0,10998710.0
1787202294.140,10998809.0,11001151.0,11000923.0
1787202299.238,11000851.0,11002548.0,11001151.0
1787202304.654,11001488.0,11002820.0,11001151.0
1787202310.049,11001344.0,11002820.0,11001151.0
1787202315.330,11001043.0,11002820.0,11001151.0
1787202320.498,11001267.0,11002820.0,11001267.0
1787202326.002,11003060.0,11003666.0,11001267.0
1787202331.557,11003517.0,11004827.0,11003668.0
1787202336.609,11003062.0,11004833.0,11003668.0
1787202342.868,11001254.0,11002748.0,11002748.0
1787202348.257,11002180.0,11003490.0,11002748.0
1787202353.327,11000641.0,11003314.0,11002748.0
1787202358.375,10999373.0,11001310.0,11000720.0
1787202363.601,11000421.0,11002814.0,11000745.0
1787202368.662,11001409.0,11003850.0,11000745.0
1787202374.146,11001714.0,11004735.0,11001695.0
1787202379.330,11001720.0,11004399.0,11001695.0
1787202385.015,11005767.0,11007552.0,11006826.0
1787202390.093,11009120.0,11011015.0,11009175.0
1787202395.676,11006474.0,11008727.0,11006948.0
1787202402.104,11007407.0,11009615.0,11006948.0
1787202408.246,11009219.0,11011348.0,11011140.0
1787202413.875,11009238.0,11011232.0,11011140.0
1787202418.945,11008431.0,11009252.0,11009174.0
1787202425.068,11007408.0,11009057.0,11009066.0
1787202431.110,11007660.0,11009720.0,11009707.0
1787202437.085,11007460.0,11009720.0,11009698.0
1787202442.651,11007427.0,11010217.0,11009720.0
1787202448.435,11009325.0,11011890.0,11009720.0
1787202453.517,11010574.0,11013194.0,11009720.0
1787202458.625,11010616.0,11012542.0,11009720.0
1787202464.308,11009810.0,11011920.0,11011975.0
1787202470.483,11008715.0,11009755.0,11009659.0
1787202475.533,11008099.0,11009030.0,11008347.0
1787202481.106,11009971.0,11010980.0,11011044.0
1787202487.837,11007833.0,11008610.0,11009416.0
1787202492.992,11006826.0,11008065.0,11007833.0
1787202498.060,11006987.0,11008170.0,11007833.0
1787202503.133,11008526.0,11009860.0,11009860.0
1787202508.221,11009075.0,11010600.0,11009860.0
1787202513.266,11010888.0,11012535.0,11012235.0
1787202519.452,11011197.0,11012790.0,11012235.0
1787202524.493,11010230.0,11012124.0,11010889.0
1787202531.337,11009050.0,11009823.0,11010231.0
1787202536.402,11008834.0,11009949.0,11010231.0
1787202541.460,11005400.0,11006959.0,11006959.0
1787202548.075,11004758.0,11006817.0,11004453.0
1787202553.128,11004781.0,11006816.0,11004453.0
1787202558.197,11004423.0,11006637.0,11005301.0
1787202563.273,11002573.0,11005974.0,11002573.0
1787202568.343,11002711.0,11005483.0,11002573.0
1787202573.402,11002711.0,11005431.0,11002573.0
1787202578.470,11002711.0,11005326.0,11002573.0
1787202583.516,11002711.0,11004894.0,11002573.0
1787202588.707,11002722.0,11004909.0,11002573.0
1787202593.751,11002976.0,11004869.0,11002573.0
1787202598.799,11002995.0,11005335.0,11002573.0
1787202605.664,11000967.0,11003348.0,11002573.0
1787202611.323,11001094.0,11003210.0,11003210.0
1787202616.390,11001520.0,11004905.0,11004518.0
1787202621.465,11001668.0,11004515.0,11004518.0
1787202626.513,11001695.0,11005000.0,11004518.0
1787202631.594,11003684.0,11007313.0,11005993.0
1787202636.997,11004189.0,11007908.0,11005993.0
1787202644.517,11004701.0,11006699.0,11004659.0
1787202651.610,11004721.0,11005735.0,11004659.0
1787202658.894,11003938.0,11006924.0,11004659.0
1787202665.892,11004514.0,11005664.0,11006418.0
1787202675.068,11004576.0,11006863.0,11006633.0
1787202682.866,11004619.0,11006854.0,11006633.0
1787202690.280,11005542.0,11007029.0,11007030.0
1787202697.567,11005098.0,11007008.0,11005543.0
1787202705.701,11003699.0,11005898.0,11005543.0
1787202713.061,11003850.0,11005700.0,11005543.0
1787202721.156,11002639.0,11004280.0,11003614.0
1787202730.561,11000936.0,11003590.0,11002640.0
1787202737.912,11000549.0,11002037.0,11002640.0
1787202745.357,10998922.0,11000270.0,10998943.0
1787202752.582,11000774.0,11002020.0,11001073.0
1787202759.486,10998998.0,11002020.0,11000180.0
1787202765.529,10999007.0,10999721.0,11000180.0
1787202772.311,10998728.0,11000174.0,10998934.0
1787202778.481,10997467.0,10999256.0,10998710.0
1787202783.524,10997464.0,10998361.0,10998710.0
1787202788.626,10997464.0,10998361.0,10998710.0
1787202793.780,10997464.0,10998434.0,10998710.0
1787202798.884,10998189.0,10999228.0,10997868.0
1787202803.947,10996370.0,10998468.0,10998219.0
1787202809.010,10997200.0,10998966.0,10998219.0
1787202814.077,10997376.0,10999219.0,10998219.0
1787202819.143,10997203.0,10998827.0,10998219.0
1787202824.210,10997203.0,10998232.0,10998219.0
1787202829.273,10997203.0,10998939.0,10998219.0
1787202834.340,10997408.0,10998876.0,10998241.0
1787202839.387,10997452.0,10998865.0,10998241.0
1787202844.428,10998594.0,11001132.0,10998865.0
1787202849.479,10999228.0,11000686.0,10998865.0
1787202854.547,10999981.0,11001177.0,10998865.0
1787202859.598,10999059.0,11000491.0,10998865.0
1787202864.667,10998967.0,10999173.0,10998967.0
1787202869.712,10997807.0,10998796.0,10997867.0
1787202874.806,10997087.0,10998747.0,10997867.0
1787202879.904,10997288.0,10999592.0,11000466.0
1787202884.975,10998092.0,10999698.0,11000466.0
1787202890.062,10999698.0,10999880.0,10999698.0
1787202895.111,10997602.0,10999554.0,10999698.0
1787202900.184,10996808.0,10997596.0,10999698.0
1787202905.229,10998400.0,10999835.0,10999530.0
1787202910.290,10999614.0,11001206.0,10999921.0
1787202915.357,10999633.0,11001153.0,10999921.0
1787202920.418,10999689.0,11000695.0,10999921.0
1787202925.515,10999798.0,11000701.0,10999921.0
1787202930.631,11000010.0,11001115.0,11000700.0
1787202935.674,11000007.0,11001620.0,11000700.0
1787202940.727,11000619.0,11001595.0,11000700.0
1787202945.803,10994657.0,10996854.0,10996215.0
1787202950.872,10996911.0,10998553.0,10998036.0
1787202955.934,10998412.0,10999466.0,11002218.0
1787202961.299,10999988.0,11002055.0,11002218.0
1787202966.386,10999989.0,11002003.0,11002078.0
1787202971.503,11000860.0,11001978.0,11002078.0
1787202976.581,11002046.0,11003682.0,11001979.0
1787202981.639,11004824.0,11008875.0,11006859.0
1787202986.745,11005814.0,11008748.0,11006859.0
1787202991.823,11006367.0,11009915.0,11006859.0
1787202996.902,11006513.0,11009915.0,11006859.0
1787203001.968,11005721.0,11008704.0,11005721.0
1787203007.132,11006103.0,11010335.0,11005721.0
1787203012.185,11007991.0,11010906.0,11005721.0
1787203017.264,11008232.0,11008510.0,11009149.0
1787203022.316,11008433.0,11010117.0,11008433.0
1787203027.527,11008433.0,11010117.0,11008433.0
1787203032.677,11008460.0,11010451.0,11010635.0
1787203037.786,11009198.0,11010450.0,11009012.0
1787203043.521,11008444.0,11009012.0,11009012.0
1787203048.570,11008909.0,11009012.0,11009012.0
1787203053.615,11007888.0,11010324.0,11009012.0
1787203058.710,11011735.0,11012788.0,11012504.0
1787203063.779,11011858.0,11014117.0,11013194.0
