ts_utc,fx_mid,spot_mid,basis_bp,candle_ts_fx,candle_ts_spot,fx_close_1m,spot_close_1m,basis_close_bp
2026-09-12T08:32:56.046937+00:00,11877495.5,11885085.5,-6.3861551521859905,2026-09-12 08:15:00+00:00,,11876637.0,,
2026-09-15T08:42:36.277340+00:00,11921059.0,11920828.0,0.19377848585744317,2026-09-15 08:30:00+00:00,,11909000.0,,
2026-09-18T08:58:55.942113+00:00,12322706.5,12334933.0,-9.912092753159296,2026-09-18 08:45:00+00:00,,12296248.0,,
2026-09-21T03:05:28.775109+00:00,12768170.0,12768538.5,-0.288599983466753,2026-09-21 03:05:00+00:00,,12765348.0,,
2026-09-21T06:04:36.752568+00:00,12805774.0,12809026.0,-2.5388347248256338,2026-09-21 05:45:00+00:00,,12804960.0,,
2026-09-21T06:48:42.285292+00:00,12818164.5,12819121.0,-0.746151003645501,2026-09-21 06:30:00+00:00,,12833810.0,,
2026-09-21T07:33:32.123473+00:00,12805915.0,12802830.0,2.4096234973058905,2026-09-21 07:15:00+00:00,,12805835.0,,
2026-09-21T08:20:02.213622+00:00,12866854.5,12857643.5,7.163832159446937,2026-09-21 08:00:00+00:00,,12845193.0,,
2026-09-21T09:04:24.544194+00:00,13165631.0,13145991.5,14.939534990570102,2026-09-21 08:45:00+00:00,,13100000.0,,
2026-09-21T09:53:26.023611+00:00,13295500.0,13278690.0,12.659381309452211,2026-09-21 09:30:00+00:00,,13271211.0,,
2026-09-21T10:40:44.649712+00:00,13210553.5,13196174.0,10.896719003554711,2026-09-21 10:15:00+00:00,,13284009.0,,
2026-09-21T11:22:32.798739+00:00,13293698.5,13283974.0,7.320475032546181,2026-09-21 11:00:00+00:00,,13260350.0,,
2026-09-21T12:03:58.326883+00:00,13333481.0,13327406.0,4.558276381765314,2026-09-21 11:45:00+00:00,,13319441.0,,
2026-09-21T12:48:06.889510+00:00,13388975.0,13384599.5,3.26905560379398,2026-09-21 12:30:00+00:00,,13376548.0,,
2026-09-21T13:29:37.312618+00:00,13337946.0,13334437.5,2.6311571073023288,2026-09-21 13:15:00+00:00,,13385316.0,,
2026-09-21T14:15:04.938882+00:00,13410313.5,13405264.5,3.7664307183193912,2026-09-21 14:00:00+00:00,,13442129.0,,
2026-09-21T15:02:35.774587+00:00,13523131.5,13514787.0,6.174348141780861,2026-09-21 14:45:00+00:00,,13478856.0,,
2026-09-21T15:51:02.771487+00:00,13550005.5,13549729.5,0.20369410326681603,2026-09-21 15:30:00+00:00,,13514020.0,,
2026-09-21T16:35:14.940366+00:00,13485038.5,13477283.5,5.754126935149095,2026-09-21 16:15:00+00:00,,13480719.0,,
2026-09-21T17:20:46.488357+00:00,13493054.5,13488529.5,3.3547022305135954,2026-09-21 17:00:00+00:00,,13511739.0,,
2026-09-21T18:04:59.095232+00:00,13525024.0,13514710.5,7.631314041096626,2026-09-21 17:45:00+00:00,,13513545.0,,
2026-09-21T18:59:31.790385+00:00,13531043.0,13522784.0,6.107470177738605,2026-09-21 18:45:00+00:00,,13518470.0,,
2026-09-21T19:59:35.813841+00:00,13606035.5,13596738.5,6.837669195447482,2026-09-21 19:45:00+00:00,,13605212.0,,
2026-09-21T20:44:41.467855+00:00,13662400.0,13651405.5,8.053749483889483,2026-09-21 20:30:00+00:00,,13690400.0,,
2026-09-21T21:29:09.555339+00:00,13618812.5,13606863.0,8.781965394963898,2026-09-21 21:15:00+00:00,,13606556.0,,
2026-09-21T22:14:15.591356+00:00,13616006.5,13611710.0,3.156473360070855,2026-09-21 22:00:00+00:00,,13615661.0,,
2026-09-21T22:59:37.309510+00:00,13578371.0,13572619.0,4.237944054865661,2026-09-21 22:45:00+00:00,,13574788.0,,
2026-09-21T23:45:05.185684+00:00,13584687.5,13580968.0,2.7387591223249075,2026-09-21 23:30:00+00:00,,13590158.0,,
2026-09-22T00:29:31.695590+00:00,13579452.0,13565556.5,10.24322149998147,2026-09-22 00:15:00+00:00,,13582206.0,,
2026-09-22T01:14:37.262165+00:00,13478749.0,13466838.0,8.844689451228405,2026-09-22 01:00:00+00:00,,13504000.0,,
2026-09-22T01:59:32.638413+00:00,13459916.0,13446394.0,10.056227714285715,2026-09-22 01:45:00+00:00,,13481821.0,,
2026-09-22T02:46:25.931206+00:00,13494450.0,13480569.0,10.297043099589676,2026-09-22 02:30:00+00:00,,13489720.0,,
2026-09-22T03:33:25.138749+00:00,13449811.5,13430285.0,14.539155349271304,2026-09-22 03:15:00+00:00,,13466901.0,,
2026-09-22T04:15:03.624245+00:00,13473189.0,13457051.0,11.992226231438696,2026-09-22 04:00:00+00:00,,13483439.0,,
2026-09-22T04:59:17.612433+00:00,13437795.0,13430674.0,5.30204217599195,2026-09-22 04:45:00+00:00,,13451051.0,,
2026-09-22T05:44:23.305367+00:00,13431914.0,13435920.0,-2.9815598782967356,2026-09-22 05:30:00+00:00,,13398733.0,,
2026-09-22T06:29:54.265038+00:00,13434471.5,13433866.0,0.45072654439204385,2026-09-22 06:15:00+00:00,,13427272.0,,
2026-09-22T07:16:11.053316+00:00,13451861.0,13455384.0,-2.6182827632414973,2026-09-22 07:00:00+00:00,,13437689.0,,
2026-09-22T08:00:02.667346+00:00,13448415.5,13443702.5,3.505730657160644,2026-09-22 07:45:00+00:00,,13433899.0,,
2026-09-22T08:44:37.439716+00:00,13512971.5,13511835.0,0.8411144748299293,2026-09-22 08:29:00+00:00,,13450780.0,,
2026-09-22T09:31:14.302862+00:00,13495423.5,13502963.0,-5.583589320359295,2026-09-22 09:15:00+00:00,,13505840.0,,
2026-09-22T10:17:09.427583+00:00,13508174.0,13514819.0,-4.916825005203407,2026-09-22 10:00:00+00:00,,13513846.0,,
2026-09-22T10:59:53.344857+00:00,13475964.0,13483922.0,-5.901843692065478,2026-09-22 10:45:00+00:00,,13466295.0,,
2026-09-22T11:44:36.918649+00:00,13524804.0,13525952.0,-0.848738780087066,2026-09-22 11:30:00+00:00,,13490568.0,,
2026-09-22T12:29:45.819559+00:00,13523065.0,13520346.0,2.011043208509644,2026-09-22 12:15:00+00:00,,13495000.0,,
2026-09-22T13:14:41.155013+00:00,13528543.0,13531621.5,-2.2750414649119755,2026-09-22 13:00:00+00:00,,13527300.0,,
2026-09-22T13:59:13.647960+00:00,13558087.0,13561174.0,-2.2763515902091136,2026-09-22 13:45:00+00:00,,13493866.0,,
2026-09-22T14:44:18.213035+00:00,13498411.5,13502555.5,-3.0690486700835073,2026-09-22 14:30:00+00:00,,13496869.0,,
2026-09-22T15:34:03.602443+00:00,13565822.5,13561754.0,2.999980680964409,2026-09-22 15:16:00+00:00,,13548160.0,,
2026-09-22T16:14:15.727503+00:00,13565154.5,13559489.0,4.178254800015768,2026-09-22 16:00:00+00:00,,13598506.0,,
2026-09-22T17:01:40.143423+00:00,13593787.0,13588789.5,3.677663856667124,2026-09-22 16:45:00+00:00,,13572260.0,,
2026-09-22T17:56:26.101441+00:00,13615797.5,13611413.0,3.221193861357996,2026-09-22 17:30:00+00:00,,13612942.0,,
2026-09-22T18:55:10.062138+00:00,13609134.0,13605777.0,2.4673342801362352,2026-09-22 18:31:00+00:00,,13566805.0,,
2026-09-22T19:46:13.811261+00:00,13571745.5,13577128.0,-3.9643877556427842,2026-09-22 19:30:00+00:00,,13598620.0,,
2026-09-22T20:32:05.511924+00:00,13555485.5,13562198.0,-4.949418965863872,2026-09-22 20:15:00+00:00,,13552981.0,,
2026-09-22T21:16:52.624151+00:00,13550450.5,13559307.5,-6.532044501534884,2026-09-22 21:00:00+00:00,,13558204.0,,
