ts_utc,okx_usdt_oi,okx_usd_oi,okx_ls_ratio,dvol,deribit_oi,btc_usd
2026-08-20T12:00:18+00:00,3092247.8400000166,4856312.300000001,1.13,39.34,828073340.0,
2026-08-20T12:15:22+00:00,3045370.6000000145,4842252.000000001,1.11,40.06,830596690.0,
2026-08-20T12:30:47+00:00,3034839.970000015,4854491.100000001,1.11,40.21,831539830.0,
2026-08-20T12:45:27+00:00,3011334.8200000133,4887213.300000001,1.11,40.29,828338680.0,
2026-08-20T13:00:14+00:00,3023805.7300000135,4888856.700000001,1.11,40.38,827794330.0,
2026-08-20T13:15:29+00:00,3025517.8200000133,4898295.300000001,1.1,40.47,829381290.0,
2026-08-20T13:30:24+00:00,3025131.7700000135,4897505.200000001,1.12,40.31,830717970.0,
2026-08-20T13:45:16+00:00,3000176.450000013,4903468.900000001,1.12,39.7,833858020.0,
2026-08-20T14:00:29+00:00,3013930.680000014,4898734.400000001,1.11,40.01,834181100.0,
2026-08-20T14:15:24+00:00,3003719.2800000147,4910170.9,1.11,40.08,819975480.0,
2026-08-20T14:30:15+00:00,3009329.550000012,4905153.400000001,1.08,39.76,822630810.0,
2026-08-20T14:45:13+00:00,3011302.4600000125,4905590.6000000015,1.09,39.41,821965600.0,
2026-08-20T15:00:30+00:00,3016760.350000013,4905612.500000001,1.09,39.22,822987270.0,
2026-08-20T15:15:58+00:00,2995461.600000018,4906976.3,1.1,39.66,822757600.0,
2026-08-20T15:30:32+00:00,3001680.9700000174,4913940.100000001,1.09,39.3,823585600.0,
2026-08-20T15:45:14+00:00,3002875.6200000164,4907952.899999999,1.11,39.41,827377410.0,
2026-08-20T16:00:18+00:00,2998402.160000015,4907731.2,1.11,39.32,827638240.0,
2026-08-20T16:15:36+00:00,3021417.950000015,4910513.5,1.1,39.15,827054800.0,
2026-08-20T16:30:16+00:00,3021952.330000016,4895012.1,1.09,39.09,810811840.0,
2026-08-20T16:45:15+00:00,3027917.550000016,4895979.800000001,1.1,39.14,812108040.0,
2026-08-20T17:00:15+00:00,3008329.100000018,4892114.600000001,1.08,39.15,811146240.0,
2026-08-20T17:15:26+00:00,3020732.7700000172,4888559.100000001,1.07,39.43,810737020.0,
2026-08-20T17:30:13+00:00,3021494.7900000187,4887677.7,1.07,39.44,810255290.0,
2026-08-20T17:45:13+00:00,3034300.190000018,4891428.4,1.07,39.62,811032060.0,
2026-08-20T18:00:42+00:00,3044418.620000017,4892793.3,1.07,39.55,815122950.0,
2026-08-20T18:15:29+00:00,3034462.0000000154,4881610.9,1.05,39.48,815103180.0,
2026-08-20T18:30:12+00:00,3024728.0200000163,4876942.2,1.05,39.41,813972340.0,
2026-08-20T18:45:12+00:00,3017781.0000000163,4876327.100000001,1.04,39.16,816850440.0,
