date,product,month,night_open,night_high,night_low,night_close,day_open,day_high,day_low,day_close,day_volume,settlement
20260821,large,202609,65910,66060,64880,65510,65600,66180,65170,66090,25358,66090.00
20260821,large,202612,65800,65840,64740,65380,65280,66000,65090,66000,207,66000.00
20260821,large,202709,66000,66000,66000,66000,65800,66180,65800,66180,197,66290.00
20260821,mini,202609,65920,66070,64880,65505,65600,66175,65175,66090,478635,66090.00
20260821,mini,202610,65585,65700,64580,65275,65275,65850,64875,65740,4694,65740.00
20260821,mini,202611,65800,65800,64775,65075,65495,65820,65395,65575,36,65920.00
20260821,mini,202612,65800,65925,64735,65305,65430,66025,65045,65970,14047,66000.00
20260821,mini,202703,65905,66165,64985,65680,65605,66260,65290,66205,692,66190.00
20260821,mini,202706,66705,66705,64900,65445,65265,66120,65190,66120,54,66060.00
20260821,mini,202709,66100,66195,65390,66195,66195,66315,65935,66315,33,66290.00
20260821,mini,202712,66105,66150,65095,65640,65870,66270,65650,66270,111,66230.00
20260821,mini,202812,66520,66520,66000,66300,66700,66855,66615,66830,22,66750.00
20260821,micro,202609,65940,66070,64880,65510,65585,66175,65190,66095,740915,66090
20260821,micro,202610,65695,65695,64570,65090,65190,65840,64895,65800,6322,65740
20260821,micro,202611,65705,65815,64700,65265,65160,65930,65010,65930,328,65920
20260821,micro,202612,65795,66235,64730,65290,65410,66025,65040,65955,43823,66000
20260824,large,202609,66260,66460,65600,66010,65950,66250,65440,65440,17713,65440.00
20260824,large,202612,66040,66220,65480,65820,65900,66100,65320,65340,111,65340.00
20260824,mini,202609,66265,66465,65595,65980,65940,66250,65440,65440,383925,65440.00
20260824,mini,202610,65945,66130,65285,65795,65715,65930,65135,65190,3657,65190.00
20260824,mini,202612,66120,66310,65460,65810,65800,66100,65300,65300,10967,65340.00
20260824,mini,202701,65860,65860,65860,65860,65860,65860,65860,65860,11,65395.00
20260824,mini,202703,66310,66545,65715,66030,66115,66345,65560,65665,524,65580.00
20260824,mini,202706,65990,66400,65630,65860,65990,66110,65450,65450,45,65460.00
20260824,mini,202709,66395,66550,65935,66120,66105,66300,65825,65825,13,65690.00
20260824,mini,202712,66510,66580,65850,66020,66350,66350,65650,65650,90,65590.00
20260824,mini,202812,66500,66700,66500,66700,66995,67000,66200,66200,10,66080.00
20260824,micro,202609,66265,66465,65595,65935,65940,66255,65445,65445,633291,65440
20260824,micro,202610,65990,66135,65300,65535,65645,65920,65150,65220,3754,65190
20260824,micro,202611,66005,66205,65420,65670,65670,66200,65200,65200,230,65290
20260824,micro,202612,66100,66320,65460,65860,65785,66100,65290,65290,30972,65340
20260825,large,202609,65390,65950,64850,65360,65280,65960,64610,65940,19613,65940.00
20260825,large,202612,65460,65790,64800,65170,65170,65800,64470,65740,187,65740.00
20260825,large,202703,65530,65530,64930,65260,64920,65690,64920,65690,13,66010.00
20260825,mini,202609,65395,65955,64855,65330,65280,65955,64605,65930,422683,65940.00
20260825,mini,202610,65030,65625,64580,64965,64875,65630,64300,65545,3089,65545.00
20260825,mini,202611,65360,65410,64735,65120,64705,65675,64475,65630,114,65685.00
20260825,mini,202612,65290,65800,64720,65195,65115,65805,64465,65750,12013,65740.00
20260825,mini,202703,65500,66015,64980,65475,65225,66000,64720,65995,774,66010.00
20260825,mini,202706,65500,65595,64865,65400,65215,65850,64640,65850,64,65890.00
20260825,mini,202709,65830,66100,65105,65105,65100,66175,65000,66175,26,66140.00
